# Server version 0.08 running on Siegetank:8123
# Game ID: 90
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 29 16:12:14 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 RandomHusPlayer
START Player-1 260498154
PIT 0 22
PIT 1 9
PIT 0 19
PIT 1 22
PIT 0 3
PIT 1 0
PIT 0 15
PIT 1 8
PIT 0 25
PIT 1 3
PIT 0 29
PIT 1 4
PIT 0 16
PIT 1 1
PIT 0 21
GAMEOVER WINNER 0
# Game ended: Mon Feb 29 16:12:21 EST 2016
