# Server version 0.08 running on Siegetank:8123
# Game ID: 242
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 19:21:43 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'Brute Force AI', running on Siegetank
START Player-0 Human
START Player-1 Brute Force AI
PIT 0 23
PIT 1 22
PIT 0 21
PIT 1 4
PIT 0 20
PIT 1 24
PIT 0 19
PIT 1 20
PIT 0 18
PIT 1 27
PIT 0 16
PIT 1 16
PIT 0 15
PIT 1 7
PIT 0 12
PIT 1 24
PIT 0 4
PIT 1 10
PIT 0 3
PIT 1 17
PIT 0 2
PIT 1 4
PIT 0 1
PIT 1 23
PIT 0 0
PIT 1 5
