# Server version 0.08 running on Siegetank:8123
# Game ID: 140
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Feb 29 19:48:42 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, 'RandomHusPlayer', running on Siegetank
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 23
PIT 1 22
PIT 0 22
PIT 1 4
PIT 0 24
PIT 1 24
PIT 0 25
PIT 1 26
PIT 0 26
PIT 1 1
PIT 0 20
PIT 1 7
PIT 0 18
PIT 1 14
PIT 0 13
PIT 1 0
PIT 0 6
PIT 1 1
PIT 0 7
PIT 1 2
PIT 0 3
PIT 1 3
PIT 0 8
PIT 1 0
PIT 0 9
PIT 1 14
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 2
PIT 0 16
PIT 1 3
PIT 0 17
PIT 1 0
PIT 0 19
PIT 1 19
PIT 0 20
PIT 1 1
PIT 0 25
PIT 1 2
GAMEOVER WINNER 1
# Game ended: Mon Feb 29 19:49:35 EST 2016
