# Server version 0.08 running on Siegetank:8123
# Game ID: 198
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Mar 01 15:39:39 EST 2016
# Player 1: Player-0, 'RandomHusPlayer', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 RandomHusPlayer
START Player-1 260498154
PIT 0 10
PIT 1 23
PIT 0 0
PIT 1 5
PIT 0 7
PIT 1 14
PIT 0 4
PIT 1 23
PIT 0 3
PIT 1 27
PIT 0 15
PIT 1 20
PIT 0 7
PIT 1 0
PIT 0 10
PIT 1 1
PIT 0 1
PIT 1 2
PIT 0 13
PIT 1 0
PIT 0 5
PIT 1 31
PIT 0 19
PIT 1 24
PIT 0 6
PIT 1 9
PIT 0 14
PIT 1 23
PIT 0 7
PIT 1 3
PIT 0 15
PIT 1 0
PIT 0 16
PIT 1 1
PIT 0 17
PIT 1 2
PIT 0 18
PIT 1 3
GAMEOVER WINNER 1
# Game ended: Tue Mar 01 15:39:46 EST 2016
