# Server version 0.08 running on Siegetank:8123
# Game ID: 38
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Feb 28 14:16:54 EST 2016
# Player 1: Player-0, 'Human', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Human
START Player-1 260498154
PIT 0 23
PIT 1 11
PIT 0 22
PIT 1 20
PIT 0 19
PIT 1 0
PIT 0 18
PIT 1 15
PIT 0 16
PIT 1 1
PIT 0 11
PIT 1 14
PIT 0 17
PIT 1 19
PIT 0 14
PIT 1 21
PIT 0 15
PIT 1 18
PIT 0 8
PIT 1 22
PIT 0 23
PIT 1 16
PIT 0 7
PIT 1 12
PIT 0 25
PIT 1 17
PIT 0 28
PIT 1 26
PIT 0 26
PIT 1 27
PIT 0 29
PIT 1 21
PIT 0 8
PIT 1 25
PIT 0 11
PIT 1 18
PIT 0 9
PIT 1 30
PIT 0 12
PIT 1 4
PIT 0 15
PIT 1 13
PIT 0 16
PIT 1 3
PIT 0 17
PIT 1 20
GAMEOVER WINNER 1
# Game ended: Sun Feb 28 14:17:08 EST 2016
