# Server version 0.08 running on Siegetank:8123
# Game ID: 691
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 03 21:33:39 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Brute Force AI
START Player-1 260498154
PIT 0 22
PIT 1 23
PIT 0 3
PIT 1 22
PIT 0 16
PIT 1 11
PIT 0 24
PIT 1 5
PIT 0 21
PIT 1 10
PIT 0 18
PIT 1 0
PIT 0 31
PIT 1 3
PIT 0 30
PIT 1 15
PIT 0 29
PIT 1 5
PIT 0 31
PIT 1 6
PIT 0 29
PIT 1 4
PIT 0 31
PIT 1 9
PIT 0 30
PIT 1 7
PIT 0 29
PIT 1 10
PIT 0 31
PIT 1 8
PIT 0 30
PIT 1 1
PIT 0 31
PIT 1 13
PIT 0 28
PIT 1 14
PIT 0 29
PIT 1 9
PIT 0 31
PIT 1 10
PIT 0 26
PIT 1 13
PIT 0 28
PIT 1 14
PIT 0 25
PIT 1 15
PIT 0 26
PIT 1 16
PIT 0 30
GAMEOVER WINNER 0
# Game ended: Thu Mar 03 21:33:46 EST 2016
