# Server version 0.08 running on Siegetank:8123
# Game ID: 602
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 03 10:56:18 EST 2016
# Player 1: Player-0, 'Brute Force AI', running on Siegetank
# Player 2: Player-1, '260498154', running on Siegetank
START Player-0 Brute Force AI
START Player-1 260498154
PIT 0 22
PIT 1 23
PIT 0 3
PIT 1 16
PIT 0 16
PIT 1 9
PIT 0 18
PIT 1 15
PIT 0 21
PIT 1 13
PIT 0 26
PIT 1 22
PIT 0 20
PIT 1 28
PIT 0 22
PIT 1 26
PIT 0 9
PIT 1 5
PIT 0 23
PIT 1 4
PIT 0 24
PIT 1 29
PIT 0 17
PIT 1 16
PIT 0 6
PIT 1 9
PIT 0 29
PIT 1 10
PIT 0 17
PIT 1 7
PIT 0 22
PIT 1 11
PIT 0 29
PIT 1 6
PIT 0 31
GAMEOVER WINNER 0
# Game ended: Thu Mar 03 10:56:25 EST 2016
